Quarter,Real_GDP_Billion_VND,Potential_GDP_HP_Filter_Billion_VND,Output_Gap_pct,Cyclical_Deviation_Billion_VND,Status
2025-Q1,1503311.33,1827414.54,-17.74,-324103.21,Thiếu hụt sản lượng
2025-Q2,1642683.17,1887419.46,-12.97,-244736.29,Thiếu hụt sản lượng
2025-Q3,1694327.58,1949883.42,-13.11,-255555.83,Thiếu hụt sản lượng
2025-Q4,1922776.09,2014259.91,-4.54,-91483.82,Thiếu hụt sản lượng
2026-Q1,2592640.17,2079842.7,24.66,512797.46,Dư cung / Vượt tiềm năng
2026-Q2,2854515.46,2145868.41,33.02,708647.05,Dư cung / Vượt tiềm năng
